card1,card2,win_rate
Js,6d,0.445
7c,9d,0.412
9h,Tc,0.522
Jh,Kh,0.6
Kc,Qs,0.611
Ac,2d,0.522
6c,Td,0.447
8c,5c,0.423
6d,5c,0.369
5h,4s,0.347
5c,9s,0.425
Ah,Qc,0.62
3c,Jh,0.418
Jh,6c,0.464
Ac,Js,0.589
Ac,Qd,0.655
6c,5d,0.347
Kc,Ad,0.635
6c,9s,0.413
4c,9c,0.42
Jc,4s,0.441
Jd,Jc,0.775
Ts,2c,0.406
5s,Jc,0.439
8s,9d,0.43
Jc,Td,0.555
Qs,Qc,0.813
Kh,2c,0.495
5h,9c,0.387
7h,5c,0.392
7c,8c,0.483
Kh,As,0.623
2h,4c,0.305
Ks,2d,0.489
4h,7d,0.373
2c,As,0.534
Qs,9h,0.537
5h,2s,0.295
Js,9s,0.539
Tc,9c,0.524
5s,3h,0.306
Jc,Tc,0.559
6c,2s,0.31
Ad,Ah,0.849
3s,6s,0.393
Jc,9s,0.486
6s,2h,0.306
8h,Qc,0.495
5c,5s,0.591
5h,2h,0.356
8c,4s,0.356
Kc,5h,0.523
Qs,6d,0.475
Ks,7d,0.524
9s,7s,0.497
2s,9c,0.381
6s,3c,0.326
6h,Ad,0.548
4h,9s,0.365
2d,5s,0.302
8c,Kh,0.529
Tc,4h,0.429
Kc,7h,0.525
5c,6d,0.364
5c,Jd,0.465
Jd,5d,0.492
Qh,2h,0.453
8s,3c,0.334
4c,Kc,0.516
9c,Qh,0.559
8s,7d,0.444
3c,Kc,0.53
Jd,3c,0.431
3d,Jc,0.415
Jc,6h,0.461
5d,Qd,0.517
6d,3c,0.321
Js,Jd,0.787
Kd,7h,0.535
Kh,9s,0.572
Ac,Qc,0.666
2d,9c,0.342
5c,Ks,0.525
3h,9h,0.412
Ts,6s,0.503
9s,Js,0.545
Ts,6h,0.43
Qd,As,0.638
2h,7s,0.317
9s,6c,0.416
4d,Qh,0.44
9c,2s,0.362
7h,2h,0.348
Kh,Qd,0.604
Qs,4h,0.476
Jd,9d,0.553
Tc,4h,0.42
Ah,Tc,0.612
Js,8c,0.508
7d,Jh,0.484
7h,6s,0.392
9d,2c,0.365
Ac,As,0.846
4s,Ad,0.545
4c,Td,0.407
9s,5c,0.407
5d,5s,0.62
8d,9c,0.448
Kh,9c,0.579
As,Ac,0.824
Ts,3c,0.425
9h,9s,0.706
5d,7d,0.432
5h,2h,0.335
Jh,5c,0.43
Jh,Qd,0.54
4s,6h,0.355
Qc,8h,0.518
8s,8c,0.698
7h,3s,0.346
9s,5h,0.404
9s,5c,0.383
8h,8s,0.687
As,Kh,0.646
4s,7c,0.357
Js,3h,0.424
2d,4h,0.307
Td,Ks,0.591
6c,2s,0.315
9h,2s,0.391
Th,4c,0.386
3c,2d,0.282
8c,2d,0.348
8s,9s,0.479
2s,Kh,0.473
Jd,4h,0.428
4s,Jh,0.44
4d,Jh,0.418
Kc,9h,0.567
Qh,Js,0.578
Jc,6d,0.444
Ts,7s,0.511
6s,Jc,0.471
4s,Jd,0.429
Qd,Js,0.572
2h,7d,0.305
4h,9c,0.382
Qs,9d,0.527
Jh,Ad,0.62
7c,6c,0.441
8c,Qd,0.52
4h,Tc,0.411
3d,7c,0.343
9d,3s,0.372
9h,Js,0.511
5h,5c,0.604
6h,4c,0.352
Ad,Qd,0.663
Qc,Ks,0.591
6d,9c,0.432
Kd,8d,0.571
5h,Ks,0.493
Qs,6s,0.522
Jd,Tc,0.522
5d,2h,0.326
Jh,Js,0.757
7s,3d,0.335
Ks,3d,0.489
3d,Qd,0.456
2s,6c,0.298
Kc,Tc,0.633
2c,Ah,0.523
4h,9c,0.385
9h,Qh,0.574
Qc,4d,0.461
Ah,6d,0.553
Ad,6h,0.56
9h,As,0.605
4s,6h,0.346
Jc,3h,0.44
8h,7d,0.416
7d,8d,0.474
4c,7d,0.348
6s,Ac,0.544
9c,Ks,0.595
6s,9c,0.44
4s,6c,0.371
Qs,7h,0.494
Jd,Ad,0.674
6s,6c,0.618
Ks,4s,0.514
8c,Jd,0.54
3d,5h,0.316
Qd,Qc,0.8
5d,Qd,0.54
5h,9h,0.415
6h,Jh,0.488
4d,6h,0.339
3s,2h,0.262
8h,9h,0.502
3d,Jd,0.456
6s,4s,0.359
5d,8d,0.415
2s,4h,0.301
Ts,Tc,0.738
4s,2s,0.327
3s,5c,0.366
Qd,Jh,0.564
Th,2c,0.409
Jh,6s,0.471
8h,Js,0.485
4d,4c,0.555
7h,Ah,0.569
Jh,6h,0.481
Ad,2d,0.549
7c,Jd,0.487
5c,8d,0.381
7s,Qs,0.529
9h,8c,0.452
6s,4s,0.381
8s,Jh,0.484
6s,Qh,0.487
4d,5d,0.413
7c,6d,0.39
5d,3d,0.365
Jh,Qs,0.568
Qd,2d,0.49
2h,9d,0.376
Ah,2h,0.552
Jh,8d,0.468
Qs,4h,0.48
5c,2c,0.355
7h,Kh,0.543
8h,5s,0.405
Ks,Ac,0.634
Jd,8h,0.521
Th,6c,0.429
9c,As,0.584
2h,5d,0.284
7c,Kc,0.577
2h,Jd,0.401
9d,Ad,0.629
3h,3s,0.529
Ah,3c,0.522
7d,2h,0.306
5s,9s,0.452
7c,6d,0.41
2c,4h,0.286
5d,6h,0.359
5s,7s,0.409
Kc,As,0.655
7h,Th,0.503
3s,2d,0.285
Ts,9d,0.494
Kh,Qc,0.57
3h,Kd,0.489
5c,5d,0.561
3h,8s,0.345
7c,5s,0.37
4d,5c,0.341
4h,7d,0.357
Jh,3s,0.444
Ac,3d,0.558
5h,5c,0.606
5d,Jc,0.46
Ks,9c,0.542
Kh,Jd,0.611
5h,Kh,0.552
6d,9h,0.433
6d,4d,0.383
4c,2h,0.289
2d,5s,0.327
3d,3c,0.542
7c,9s,0.455
2c,7h,0.307
Qh,5s,0.483
Qd,8d,0.515
2h,Kd,0.478
Td,Qd,0.576
2c,Qs,0.425
3s,5s,0.364
